"Nombre","Estilo","Gravedad_Original","Gravedad_Final","Grado_Alcoholico","Amargor","Color"
"Chocolate Vanilla Porter","Robust Porter",1.06,1.016,5.77,31.63,34.76
"Bakke Brygg Robust Porter 50 l","Robust Porter",1.058,1.014,5.76,39,38.71
"Breck Vanilla Porter Clone","Robust Porter",1.053,1.012,5.38,0,46.1
"Founders Porter clone","Robust Porter",1.062,1.015,6.06,34.61,40
"Dreaded Jake Porter - Robust Porter","Robust Porter",1.063,1.015,6.32,36.3,33.24
"Highlander Chocolate Coffee Porter","Robust Porter",1.057,1.016,5.41,24.84,39
"Chocolate cherry porter","Robust Porter",1.072,1.018,7.12,0,39.03
"White House Honey Porter (Official Recipe)...","Brown Porter",1.053,1.012,5.37,25.91,24.79
"Maple Bourbon Porter","Robust Porter",1.062,1.012,6.5,40.18,27.53
"Chocolate Hazelnut Porter","Brown Porter",1.069,1.017,6.77,38.63,40
"Nice Little Porter","Brown Porter",1.052,1.012,5.25,32.79,22.69
"Porter","Brown Porter",13.1874,3.61072,5.15,29.06,22.65
"Sweet Baby Jesus Clone","Robust Porter",1.08,1.02,7.77,35.66,47.34
"Great Lakes Brewing Co. - Edmund Fitzgerald ...","Brown Porter",1.057,1.018,5.13,79.13,34.11
"Cubby Claus Spiced Maple Christmas Porter...","Robust Porter",1.062,1.014,6.29,41.36,23.06
"Spiced Porter V3.1 ""Fatty St. Nick's Porter""...","Robust Porter",1.064,1.019,5.93,33.81,25.9
"Dark Days Porter","Robust Porter",1.061,1.014,6.17,29.71,40
"Black Butte Porter Clone","Robust Porter",1.053,1.016,4.92,30.72,27.77
"Mudpuppy Porter","Brown Porter",1.064,1.018,6.08,23.44,36.13
"Chocolate Maple Porter - #5","Robust Porter",1.08,1.018,8.05,28.16,40
"Bakke Brygg Robust Porter 23 l Grainfather...","Robust Porter",1.058,1.014,5.81,37.73,38.45
"Pumpkin Porter","Brown Porter",1.05,1.008,5.51,33.18,19.59
"Cocoa Porter","Baltic Porter",1.074,1.025,6.47,34.93,36.68
"Oatmeal Porter","Robust Porter",1.053,1.015,5.04,37.11,24.9
"Toasted Coconut Porter","Robust Porter",1.061,1.016,5.99,45.76,33.97
"Ten Fidy Clone 5 gal","Robust Porter",1.106,1.025,10.62,123.44,40
"Porterline Syndrome ( Leffe Brune )","Baltic Porter",1.069,1.02,6.41,19.62,19.31
"Adam's Vanilla Porter","Brown Porter",1.08,1.02,7.85,51.05,39.23
"Juicy Plum Porter","English Porter",1.06,1.022,5.26,35.6,24.55
"Denny Conn's Bourbon Vanilla Porter","Robust Porter",1.082,1.019,8.21,34.11,40
"Ten Fidy clone","Robust Porter",1.106,1.025,10.62,118.03,40
