"Nombre","Estilo","Gravedad_Original","Gravedad_Final","Grado_Alcoholico","Amargor","Color"
"Bakke Brygg Imperial Stout 20 L","Russian Imperial Stout",1.098,1.025,9.67,69.25,50
"Nutella Stout","Sweet Stout",1.054,1.015,5.11,31.84,35.08
"Bill's Double Chocolate Milk Stout","Sweet Stout",1.066,1.021,5.87,37.61,41.27
"Dry Irish Stout: Guinness Clone","Dry Stout",1.044,1.01,4.39,38.47,31.4
"Speedway Stout Clone","Russian Imperial Stout",1.124,1.024,13.24,69.09,40
"Hunahpu (clone)","Russian Imperial Stout",1.13,1.036,12.35,114.57,40
"Nothing Fancy Milk Chocolate Stout","Sweet Stout",1.06,1.022,4.99,24.51,39.5
"Yeti Imperial Stout (Great Divide Clone)","Russian Imperial Stout",1.09,1.019,9.26,88.9,50
"Chocolate Orange Stout","Russian Imperial Stout",1.096,1.027,9.18,35.95,29.92
"Irish Death Clone","Sweet Stout",1.105,1.026,10.3,59.26,40
"Imperial Stout","Russian Imperial Stout",1.09,1.021,8.95,83.29,39.77
"Guinness Extra Stout Clone","Dry Stout",1.045,1.012,4.3,53.28,40
"Dark Heart Root Beer","Russian Imperial Stout",1.101,1.025,9.9,60.65,40
"Imperial Gingerbread Stout","Foreign Extra Stout",1.101,1.024,10.17,82.34,40
"Banana Chocolate Milk Stout","Sweet Stout",1.065,1.02,5.9,0,2.82
"Double Chocolate Stout - Young Clone","Sweet Stout",1.069,1.025,5.85,28.78,41.87
"Coffee Blackout Stout","Russian Imperial Stout",1.098,1.024,9.61,86.79,40
"Dark Lord clone","Russian Imperial Stout",1.136,1.031,13.69,79.54,50
"Old Rasputin Clone","Russian Imperial Stout",1.09,1.021,8.99,93.05,32.93
"Nutella Stout","Sweet Stout",1.089,1.025,8.46,16.28,40
"Imperial Biscotti Break Clone","Russian Imperial Stout",1.108,1.024,11.14,88.99,50
"Steroid Stout","Imperial Stout",1.142,1.03,14.61,84.06,50
"Russian Imperial Stout","Russian Imperial Stout",1.097,1.024,9.58,98.84,50
"HellaNutella Imperial Milk Stout","Russian Imperial Stout",1.089,1.021,8.98,61.1,40
"Milk Stout - Espresso Coffee","Sweet Stout",1.06,1.015,5.86,32.75,40
"Left Hand Milk Stout Clone","Sweet Stout",1.054,1.013,5.31,22.34,38.61
"BOURBON VANILLA IMPERIAL PORTER","Russian Imperial Stout",1.093,1.023,9.11,43.36,40
"Century  Russian Imperial Stout (new)","Russian Imperial Stout",1.169,1.025,18.81,160.74,40
"Imperial stout","Russian Imperial Stout",1.084,1.015,9.07,59.5,49.67
"Extra Chocolate Stout_24.12.11","Sweet Stout",1.072,1.021,6.66,35.41,40
"Oatmeal Raisin Cookie Stout","Foreign Extra Stout",1.089,1.025,8.33,58.15,40
"Guinness Clone","Dry Stout",1.046,1.011,4.7,41.97,42.11
"Nutella Imperial Milk Stout","Sweet Stout",1.092,1.019,9.55,27.12,40
"Chai Stout","Sweet Stout",1.061,1.014,6.13,29.16,37.22
"Chocolate Milk Stout","Sweet Stout",1.074,1.024,6.58,46.09,42.11
"(2015-01-23) Steel Cut Imperial Stout","Russian Imperial Stout",25.5972,4.59445,11.86,103.34,50
"Chocolate Milk Stout (Patio 1812)","Sweet Stout",1.061,1.018,5.6,32.35,28.58
"Time Warp Tongue Tickler","Russian Imperial Stout",1.114,1.029,11.08,198.51,40
"Chocolate Cherry Imperial Stout","Russian Imperial Stout",1.116,1.031,11.1,136.03,31.03
"Marshmallow Milk Stout","Sweet Stout",1.067,1.026,5.42,30.44,40
"Great Divide | Yeti Imperial Stout (approxim...","Russian Imperial Stout",1.084,1.022,8.18,84.83,49.39
"Batch 15 : Stout","Sweet Stout",1.079,1.027,6.84,27.76,34.76
"Dry Stout","Dry Stout",1.059,1.015,5.85,61.75,40
"Stout #3","Imperial Stout",1.122,1.024,12.83,100.72,50
"Russian Imperial Stout Blend","Russian Imperial Stout",1.111,1.031,10.52,110.64,40
"THORS THUNDER","Russian Imperial Stout",1.095,1.027,8.97,113.13,40
"KBS Clone","Russian Imperial Stout",1.092,1.023,9.02,0,53.1
"Black tooth grin","Sweet Stout",1.055,1.015,5.29,30.29,44.92
"Chocolate Cherry Stout","Dry Stout",1.052,1.013,5.08,36.21,40
"Sour Baby Jesus","Foreign Extra Stout",1.075,1.019,7.42,40.35,50
"Probably the best stout","Russian Imperial Stout",1.08,1.017,8.31,67.07,35.91
"Chocolate peanut butter stout","Sweet Stout",1.05,1.014,4.74,18.05,33.63
"NixonBrew - Breakfast of Champions Oatmeal M...","Sweet Stout",1.065,1.019,6.09,79.16,40
"Far out stout","Sweet Stout",1.056,1.011,5.95,30.77,44.33
"Russian Imperial Stout - Kate the Great","Russian Imperial Stout",1.107,1.027,10.58,99.25,40
"Eightball Imperial Black Ale","Foreign Extra Stout",1.083,1.016,8.69,116.97,39.07
"Tropical Stout","Foreign Extra Stout",1.053,1.015,5.01,31.69,27.9
"Udder Cream (Milk Stout)","Russian Imperial Stout",1.142,1.041,13.25,110.37,40
"Scotty's Neapolitan Milk Stout","Sweet Stout",1.058,1.02,5.01,23.08,38.01
"Russian Imperial Stout","Russian Imperial Stout",1.099,1.015,11.01,70.07,40
"Second Runnings Stout","Dry Stout",1.045,1.013,4.23,54.27,40
"Dry Irish Stout","Dry Stout",1.045,1.012,4.27,43.48,36.59
"Pelican Tsunami Stout Clone Dbl Grain","Foreign Extra Stout",1.076,1.019,7.51,91.31,40
"Founders Breakfast Stout Clone","Imperial Stout",1.086,1.021,8.46,77.12,50
"Imperial Stout Speidel 50 L","Russian Imperial Stout",1.1,1.026,9.71,78.22,40
"Grandad - Chocolate Stout","Irish Stout",1.043,1.01,4.35,34.12,35.96
"Broomers dark irish","Dry Stout",1.048,1.013,4.58,38.03,36.58
"Vanilla Stout","Russian Imperial Stout",1.09,1.017,9.51,32.3,38.11
"CrËme Br˚lÈe Imperial Milk Stout","Russian Imperial Stout",1.103,1.026,10.12,0,39.48
"Stout Guinness worthy clone","Dry Stout",1.049,1.013,4.72,51.74,40
"Alesmith Speedway Stout clone","Russian Imperial Stout",1.114,1.037,10.03,39.31,50
"Chocolate Peanut Butter Milk Stout","Sweet Stout",14.4965,4.05748,5.85,24.63,42.19
"Bourbon County Stout Clone","Russian Imperial Stout",1.127,1.038,13.68,76.62,50
"Smoked Oak Burbon Imperial Stout","Russian Imperial Stout",1.101,1.026,9.7,0,186
"Chili explosion -  Imperial stout","Imperial Stout",1.101,1.022,10.36,53.69,38.26
