Date/Time,Unit,Value,a
13-07-15 16:26:01,C,28,68
13-07-15 17:26:01,C,24,682
13-07-15 18:26:01,C,24,181
13-07-15 19:26:01,C,24,181
13-07-15 20:26:01,C,24,181
13-07-15 21:26:01,C,23,681
13-07-15 22:26:01,C,23,181
13-07-15 23:26:01,C,22,68
14-07-15 0:26:01,C,21,68
14-07-15 1:26:01,C,21,179
14-07-15 2:26:01,C,20,178
14-07-15 3:26:01,C,19,677
14-07-15 4:26:01,C,19,176
14-07-15 5:26:01,C,18,675
14-07-15 6:26:01,C,15,167
14-07-15 7:26:01,C,23,681
14-07-15 8:26:01,C,28,181
14-07-15 9:26:01,C,40,652
14-07-15 10:26:01,C,58,539
14-07-15 11:26:01,C,58,043
14-07-15 12:26:01,C,48,612
14-07-15 13:26:01,C,48,115
14-07-15 14:26:01,C,47,121
14-07-15 15:26:01,C,42,644
14-07-15 16:26:01,C,35,668
14-07-15 17:26:01,C,24,682
14-07-15 18:26:01,C,22,68
14-07-15 19:26:01,C,19,176
14-07-15 20:26:01,C,18,174
14-07-15 21:26:01,C,16,17
14-07-15 22:26:01,C,15,167
14-07-15 23:26:01,C,15,167
15-07-15 0:26:01,C,14,164
15-07-15 1:26:01,C,13,161
15-07-15 2:26:01,C,12,66
15-07-15 3:26:01,C,13,161
15-07-15 4:26:01,C,11,656
15-07-15 5:26:01,C,14,666
15-07-15 6:26:01,C,31,178
15-07-15 7:26:01,C,41,15
15-07-15 8:26:01,C,50,103
15-07-15 9:26:01,C,55,067
15-07-15 10:26:01,C,60,025
15-07-15 11:26:01,C,62,997
15-07-15 12:26:01,C,53,082
15-07-15 13:26:01,C,47,618
15-07-15 14:26:01,C,46,624
15-07-15 15:26:01,C,41,15
15-07-15 16:26:01,C,35,668
15-07-15 17:26:01,C,27,181
15-07-15 18:26:01,C,25,682
15-07-15 19:26:01,C,21,68
15-07-15 20:26:01,C,20,178
15-07-15 21:26:01,C,19,176
15-07-15 22:26:01,C,18,174
15-07-15 23:26:01,C,17,673
16-07-15 0:26:01,C,17,172
16-07-15 1:26:01,C,16,17
16-07-15 2:26:01,C,15,167
16-07-15 3:26:01,C,15,167
16-07-15 4:26:01,C,14,666
16-07-15 5:26:01,C,16,671
16-07-15 6:26:01,C,34,671
16-07-15 7:26:01,C,44,634
16-07-15 8:26:01,C,53,082
16-07-15 9:26:01,C,59,53
16-07-15 10:26:01,C,65,966
16-07-15 11:26:01,C,60,521
16-07-15 12:26:01,C,52,586
16-07-15 13:26:01,C,46,126
16-07-15 14:26:01,C,49,109
16-07-15 15:26:01,C,42,146
16-07-15 16:26:01,C,36,167
16-07-15 17:26:01,C,27,681
16-07-15 18:26:01,C,26,682
16-07-15 19:26:01,C,24,181
16-07-15 20:26:01,C,23,181
16-07-15 21:26:01,C,21,179
16-07-15 22:26:01,C,19,176
16-07-15 23:26:01,C,18,174
17-07-15 0:26:01,C,17,673
17-07-15 1:26:01,C,17,673
17-07-15 2:26:01,C,16,671
17-07-15 3:26:01,C,16,671
17-07-15 4:26:01,C,15,167
17-07-15 5:26:01,C,18,174
17-07-15 6:26:01,C,35,17
17-07-15 7:26:01,C,46,126
17-07-15 8:26:01,C,53,579
17-07-15 9:26:01,C,59,034
17-07-15 10:26:01,C,44,137
17-07-15 11:26:01,C,28,181
17-07-15 12:26:01,C,25,682
17-07-15 13:26:01,C,27,681
17-07-15 14:26:01,C,28,181
17-07-15 15:26:01,C,29,68
17-07-15 16:26:01,C,31,178
