Date/Time,Unit,Value,a
17-07-2016 22:29,C,29,697
17-07-2016 23:29,C,22,698
18-07-2016 0:29,C,21,697
18-07-2016 1:29,C,21,196
18-07-2016 2:29,C,21,196
18-07-2016 3:29,C,20,695
18-07-2016 4:29,C,20,194
18-07-2016 5:29,C,20,194
18-07-2016 6:29,C,19,693
18-07-2016 7:29,C,19,693
18-07-2016 8:29,C,19,192
18-07-2016 9:29,C,19,192
18-07-2016 10:29,C,18,691
18-07-2016 11:29,C,18,691
18-07-2016 12:29,C,18,691
18-07-2016 13:29,C,18,691
18-07-2016 14:29,C,19,192
18-07-2016 15:29,C,19,192
18-07-2016 16:29,C,19,693
18-07-2016 17:29,C,19,693
18-07-2016 18:29,C,20,194
18-07-2016 19:29,C,20,194
18-07-2016 20:29,C,20,695
18-07-2016 21:29,C,20,695
18-07-2016 22:29,C,20,695
18-07-2016 23:29,C,21,196
19-07-2016 0:29,C,21,196
19-07-2016 1:29,C,20,695
19-07-2016 2:29,C,20,695
19-07-2016 3:29,C,20,194
19-07-2016 4:29,C,20,194
19-07-2016 5:29,C,19,693
19-07-2016 6:29,C,19,693
19-07-2016 7:29,C,13,174
19-07-2016 8:29,C,15,181
19-07-2016 9:29,C,17,689
19-07-2016 10:29,C,21,196
19-07-2016 11:29,C,24,199
19-07-2016 12:29,C,27,699
19-07-2016 13:29,C,23,699
19-07-2016 14:29,C,26,699
19-07-2016 15:29,C,29,197
19-07-2016 16:29,C,21,196
19-07-2016 17:29,C,19,693
19-07-2016 18:29,C,17,187
19-07-2016 19:29,C,15,181
19-07-2016 20:29,C,12,672
19-07-2016 21:29,C,10,663
19-07-2016 22:29,C,9,658
19-07-2016 23:29,C,8,653
20-07-2016 0:29,C,9,155
20-07-2016 1:29,C,8,653
20-07-2016 2:29,C,8,653
20-07-2016 3:29,C,8,653
20-07-2016 4:29,C,8,653
20-07-2016 5:29,C,8,15
20-07-2016 6:29,C,9,155
20-07-2016 7:29,C,14,178
20-07-2016 8:29,C,20,194
20-07-2016 9:29,C,22,698
20-07-2016 10:29,C,23,198
20-07-2016 11:29,C,30,695
20-07-2016 12:29,C,23,198
20-07-2016 13:29,C,25,699
20-07-2016 14:29,C,28,198
20-07-2016 15:29,C,33,191
20-07-2016 16:29,C,23,198
20-07-2016 17:29,C,21,196
20-07-2016 18:29,C,19,192
20-07-2016 19:29,C,16,686
20-07-2016 20:29,C,14,178
20-07-2016 21:29,C,12,17
20-07-2016 22:29,C,11,165
20-07-2016 23:29,C,10,663
21-07-2016 0:29,C,10,663
21-07-2016 1:29,C,10,663
21-07-2016 2:29,C,10,16
21-07-2016 3:29,C,10,16
21-07-2016 4:29,C,10,663
21-07-2016 5:29,C,10,663
21-07-2016 6:29,C,11,668
21-07-2016 7:29,C,15,683
21-07-2016 8:29,C,21,196
21-07-2016 9:29,C,24,199
21-07-2016 10:29,C,24,199
21-07-2016 11:29,C,30,695
21-07-2016 12:29,C,23,699
21-07-2016 13:29,C,26,199
21-07-2016 14:29,C,27,699
21-07-2016 15:29,C,34,188
21-07-2016 16:29,C,23,198
21-07-2016 17:29,C,21,196
21-07-2016 18:29,C,18,691
21-07-2016 19:29,C,16,185
21-07-2016 20:29,C,13,676
21-07-2016 21:29,C,12,17
21-07-2016 22:29,C,11,668
21-07-2016 23:29,C,11,165
22-07-2016 0:29,C,10,16
22-07-2016 1:29,C,9,658
22-07-2016 2:29,C,10,16
22-07-2016 3:29,C,10,663
22-07-2016 4:29,C,10,16
22-07-2016 5:29,C,9,155
22-07-2016 6:29,C,9,155
22-07-2016 7:29,C,14,178
22-07-2016 8:29,C,21,196
22-07-2016 9:29,C,23,198
22-07-2016 10:29,C,25,199
22-07-2016 11:29,C,27,699
22-07-2016 12:29,C,29,697
22-07-2016 13:29,C,31,694
22-07-2016 14:29,C,26,199
22-07-2016 15:29,C,22,698
22-07-2016 16:29,C,21,697
22-07-2016 17:29,C,21,196
22-07-2016 18:29,C,21,196
22-07-2016 19:29,C,21,697
22-07-2016 20:29,C,21,697
22-07-2016 21:29,C,21,697
22-07-2016 22:29,C,21,697
22-07-2016 23:29,C,21,697
23-07-2016 0:29,C,21,196
23-07-2016 1:29,C,20,695
23-07-2016 2:29,C,20,695
23-07-2016 3:29,C,20,695
23-07-2016 4:29,C,20,194
23-07-2016 5:29,C,19,693
23-07-2016 6:29,C,19,192
23-07-2016 7:29,C,18,691
23-07-2016 8:29,C,18,19
23-07-2016 9:29,C,18,19
23-07-2016 10:29,C,18,19
23-07-2016 11:29,C,18,691
23-07-2016 12:29,C,19,192
23-07-2016 13:29,C,19,693
23-07-2016 14:29,C,19,693
23-07-2016 15:29,C,20,194
23-07-2016 16:29,C,20,695
23-07-2016 17:29,C,21,196
23-07-2016 18:29,C,21,697
23-07-2016 19:29,C,22,197
23-07-2016 20:29,C,22,197
23-07-2016 21:29,C,22,698
23-07-2016 22:29,C,22,698
23-07-2016 23:29,C,22,197
24-07-2016 0:29,C,22,197
24-07-2016 1:29,C,22,197
24-07-2016 2:29,C,22,197
24-07-2016 3:29,C,21,697
24-07-2016 4:29,C,21,697
24-07-2016 5:29,C,21,697
24-07-2016 6:29,C,21,196
24-07-2016 7:29,C,20,695
24-07-2016 8:29,C,20,695
24-07-2016 9:29,C,20,194
24-07-2016 10:29,C,20,194
24-07-2016 11:29,C,20,695
24-07-2016 12:29,C,20,695
24-07-2016 13:29,C,20,695
24-07-2016 14:29,C,21,196
24-07-2016 15:29,C,21,697
24-07-2016 16:29,C,21,697
24-07-2016 17:29,C,22,197
24-07-2016 18:29,C,22,698
24-07-2016 19:29,C,22,698
24-07-2016 20:29,C,22,698
24-07-2016 21:29,C,23,198
24-07-2016 22:29,C,23,198
24-07-2016 23:29,C,22,698
25-07-2016 0:29,C,22,698
25-07-2016 1:29,C,22,197
25-07-2016 2:29,C,22,197
25-07-2016 3:29,C,22,197
25-07-2016 4:29,C,21,697
25-07-2016 5:29,C,21,697
25-07-2016 6:29,C,21,196
25-07-2016 7:29,C,20,695
25-07-2016 8:29,C,20,194
25-07-2016 9:29,C,20,194
25-07-2016 10:29,C,20,194
25-07-2016 11:29,C,20,194
25-07-2016 12:29,C,20,194
25-07-2016 13:29,C,20,695
25-07-2016 14:29,C,21,196
25-07-2016 15:29,C,21,196
25-07-2016 16:29,C,21,697
25-07-2016 17:29,C,21,697
25-07-2016 18:29,C,22,197
25-07-2016 19:29,C,24,199
