Date/Time,Unit,Value,a
21-06-2016 5:55,%RH,44,793
21-06-2016 6:55,%RH,55,777
21-06-2016 7:55,%RH,63,268
21-06-2016 8:55,%RH,63,268
21-06-2016 9:55,%RH,15,69
21-06-2016 10:55,%RH,22,23
21-06-2016 11:55,%RH,22,23
21-06-2016 12:55,%RH,5,535
21-06-2016 13:55,%RH,20,98
21-06-2016 14:55,%RH,14,345
21-06-2016 15:55,%RH,7,18
21-06-2016 16:55,%RH,27,851
21-06-2016 17:55,%RH,31,314
21-06-2016 18:55,%RH,46,763
21-06-2016 19:55,%RH,66,325
21-06-2016 20:55,%RH,80,476
21-06-2016 21:55,%RH,83,878
21-06-2016 22:55,%RH,87,226
21-06-2016 23:55,%RH,82,184
22-06-2016 0:55,%RH,80,476
22-06-2016 1:55,%RH,82,184
22-06-2016 2:55,%RH,87,226
22-06-2016 3:55,%RH,90,52
22-06-2016 4:55,%RH,89,428
22-06-2016 5:55,%RH,90,52
22-06-2016 6:55,%RH,94,294
22-06-2016 7:55,%RH,93,223
22-06-2016 8:55,%RH,42,146
22-06-2016 9:55,%RH,15,792
22-06-2016 10:55,%RH,21,521
22-06-2016 11:55,%RH,23,644
22-06-2016 12:55,%RH,4,791
22-06-2016 13:55,%RH,20,98
22-06-2016 14:55,%RH,16,513
22-06-2016 15:55,%RH,7,757
22-06-2016 16:55,%RH,21,521
22-06-2016 17:55,%RH,28,546
22-06-2016 18:55,%RH,37,454
22-06-2016 19:55,%RH,55,143
22-06-2016 20:55,%RH,65,107
22-06-2016 21:55,%RH,72,327
22-06-2016 22:55,%RH,77,19
22-06-2016 23:55,%RH,81,616
23-06-2016 0:55,%RH,88,33
23-06-2016 1:55,%RH,84,44
23-06-2016 2:55,%RH,83,878
23-06-2016 3:55,%RH,79,904
23-06-2016 4:55,%RH,80,476
23-06-2016 5:55,%RH,82,184
23-06-2016 6:55,%RH,86,116
23-06-2016 7:55,%RH,85,559
23-06-2016 8:55,%RH,36,778
23-06-2016 9:55,%RH,17,952
23-06-2016 10:55,%RH,21,521
23-06-2016 11:55,%RH,21,521
23-06-2016 12:55,%RH,4,791
23-06-2016 13:55,%RH,17,952
23-06-2016 14:55,%RH,16,513
23-06-2016 15:55,%RH,9,967
23-06-2016 16:55,%RH,33,375
23-06-2016 17:55,%RH,39,474
23-06-2016 18:55,%RH,48,69
23-06-2016 19:55,%RH,60,173
23-06-2016 20:55,%RH,74,98
23-06-2016 21:55,%RH,82,184
23-06-2016 22:55,%RH,88,33
23-06-2016 23:55,%RH,93,223
24-06-2016 0:55,%RH,95,889
24-06-2016 1:55,%RH,97,471
24-06-2016 2:55,%RH,100,
24-06-2016 3:55,%RH,100,
24-06-2016 4:55,%RH,100,
24-06-2016 5:55,%RH,100,
24-06-2016 6:55,%RH,100,
24-06-2016 7:55,%RH,100,
24-06-2016 8:55,%RH,42,81
24-06-2016 9:55,%RH,17,952
24-06-2016 10:55,%RH,22,23
24-06-2016 11:55,%RH,15,792
24-06-2016 12:55,%RH,20,98
24-06-2016 13:55,%RH,29,933
24-06-2016 14:55,%RH,33,375
24-06-2016 15:55,%RH,32,689
24-06-2016 16:55,%RH,32,689
24-06-2016 17:55,%RH,34,58
24-06-2016 18:55,%RH,36,1
24-06-2016 19:55,%RH,36,778
24-06-2016 20:55,%RH,38,802
24-06-2016 21:55,%RH,40,144
