Date/Time,Unit,Value,a
18-07-2016 19:49,C,29,63
18-07-2016 20:49,C,25,633
18-07-2016 21:49,C,25,633
18-07-2016 22:49,C,26,633
18-07-2016 23:49,C,22,132
19-07-2016 0:49,C,21,132
19-07-2016 1:49,C,20,631
19-07-2016 2:49,C,20,631
19-07-2016 3:49,C,20,131
19-07-2016 4:49,C,20,131
19-07-2016 5:49,C,19,63
19-07-2016 6:49,C,19,63
19-07-2016 7:49,C,17,127
19-07-2016 8:49,C,14,622
19-07-2016 9:49,C,17,628
19-07-2016 10:49,C,20,131
19-07-2016 11:49,C,23,633
19-07-2016 12:49,C,25,633
19-07-2016 13:49,C,25,133
19-07-2016 14:49,C,30,629
19-07-2016 15:49,C,56,31
19-07-2016 16:49,C,30,13
19-07-2016 17:49,C,21,132
19-07-2016 18:49,C,19,63
19-07-2016 19:49,C,18,128
19-07-2016 20:49,C,14,622
19-07-2016 21:49,C,13,62
19-07-2016 22:49,C,13,119
19-07-2016 23:49,C,12,618
20-07-2016 0:49,C,12,618
20-07-2016 1:49,C,12,117
20-07-2016 2:49,C,11,615
20-07-2016 3:49,C,11,615
20-07-2016 4:49,C,11,615
20-07-2016 5:49,C,11,114
20-07-2016 6:49,C,10,111
20-07-2016 7:49,C,11,114
20-07-2016 8:49,C,12,117
20-07-2016 9:49,C,13,62
20-07-2016 10:49,C,15,624
20-07-2016 11:49,C,17,628
20-07-2016 12:49,C,67,443
20-07-2016 13:49,C,34,623
20-07-2016 14:49,C,63,477
20-07-2016 15:49,C,58,18
20-07-2016 16:49,C,32,127
20-07-2016 17:49,C,23,133
20-07-2016 18:49,C,20,631
20-07-2016 19:49,C,19,13
20-07-2016 20:49,C,16,125
20-07-2016 21:49,C,15,123
20-07-2016 22:49,C,14,622
20-07-2016 23:49,C,14,121
21-07-2016 0:49,C,14,121
21-07-2016 1:49,C,13,62
21-07-2016 2:49,C,13,119
21-07-2016 3:49,C,13,119
21-07-2016 4:49,C,13,119
21-07-2016 5:49,C,13,119
21-07-2016 6:49,C,13,119
21-07-2016 7:49,C,13,119
21-07-2016 8:49,C,14,121
21-07-2016 9:49,C,15,123
21-07-2016 10:49,C,16,125
21-07-2016 11:49,C,18,128
21-07-2016 12:49,C,39,61
21-07-2016 13:49,C,34,623
21-07-2016 14:49,C,40,607
21-07-2016 15:49,C,42,102
21-07-2016 16:49,C,31,628
21-07-2016 17:49,C,23,133
21-07-2016 18:49,C,21,132
21-07-2016 19:49,C,19,13
21-07-2016 20:49,C,16,125
21-07-2016 21:49,C,15,123
21-07-2016 22:49,C,14,622
21-07-2016 23:49,C,14,622
22-07-2016 0:49,C,14,622
22-07-2016 1:49,C,14,121
22-07-2016 2:49,C,14,121
22-07-2016 3:49,C,13,62
22-07-2016 4:49,C,13,119
22-07-2016 5:49,C,12,117
22-07-2016 6:49,C,11,615
22-07-2016 7:49,C,10,612
22-07-2016 8:49,C,12,618
22-07-2016 9:49,C,17,127
22-07-2016 10:49,C,21,132
22-07-2016 11:49,C,22,132
22-07-2016 12:49,C,25,133
22-07-2016 13:49,C,22,632
22-07-2016 14:49,C,23,133
22-07-2016 15:49,C,23,633
22-07-2016 16:49,C,24,133
22-07-2016 17:49,C,24,133
22-07-2016 18:49,C,24,633
22-07-2016 19:49,C,24,633
22-07-2016 20:49,C,25,133
22-07-2016 21:49,C,25,633
22-07-2016 22:49,C,25,633
22-07-2016 23:49,C,25,633
23-07-2016 0:49,C,25,133
23-07-2016 1:49,C,24,633
23-07-2016 2:49,C,23,633
23-07-2016 3:49,C,23,133
23-07-2016 4:49,C,22,132
23-07-2016 5:49,C,21,632
23-07-2016 6:49,C,20,631
23-07-2016 7:49,C,20,131
23-07-2016 8:49,C,19,63
23-07-2016 9:49,C,19,13
23-07-2016 10:49,C,19,13
23-07-2016 11:49,C,19,13
23-07-2016 12:49,C,19,63
23-07-2016 13:49,C,20,631
23-07-2016 14:49,C,21,632
23-07-2016 15:49,C,23,133
23-07-2016 16:49,C,24,133
23-07-2016 17:49,C,24,633
23-07-2016 18:49,C,25,133
23-07-2016 19:49,C,25,633
23-07-2016 20:49,C,25,633
23-07-2016 21:49,C,25,633
23-07-2016 22:49,C,26,133
23-07-2016 23:49,C,26,133
24-07-2016 0:49,C,26,133
24-07-2016 1:49,C,26,133
24-07-2016 2:49,C,25,633
24-07-2016 3:49,C,25,133
24-07-2016 4:49,C,24,633
24-07-2016 5:49,C,23,633
24-07-2016 6:49,C,23,133
24-07-2016 7:49,C,22,632
24-07-2016 8:49,C,22,132
24-07-2016 9:49,C,22,132
24-07-2016 10:49,C,22,132
24-07-2016 11:49,C,22,132
24-07-2016 12:49,C,22,632
24-07-2016 13:49,C,23,133
24-07-2016 14:49,C,24,133
24-07-2016 15:49,C,24,633
24-07-2016 16:49,C,25,133
24-07-2016 17:49,C,25,633
24-07-2016 18:49,C,26,133
24-07-2016 19:49,C,26,133
24-07-2016 20:49,C,26,133
24-07-2016 21:49,C,26,633
24-07-2016 22:49,C,25,633
24-07-2016 23:49,C,25,133
25-07-2016 0:49,C,25,133
25-07-2016 1:49,C,24,633
25-07-2016 2:49,C,24,133
25-07-2016 3:49,C,24,133
25-07-2016 4:49,C,23,133
25-07-2016 5:49,C,22,632
25-07-2016 6:49,C,22,632
25-07-2016 7:49,C,22,132
25-07-2016 8:49,C,21,632
25-07-2016 9:49,C,21,132
25-07-2016 10:49,C,21,132
25-07-2016 11:49,C,21,632
25-07-2016 12:49,C,22,132
25-07-2016 13:49,C,23,133
25-07-2016 14:49,C,23,633
25-07-2016 15:49,C,24,133
25-07-2016 16:49,C,25,133
25-07-2016 17:49,C,25,633
25-07-2016 18:49,C,26,633
