Date/Time,Unit,Value,a
17-07-15 17:15:01,%RH,39,238
17-07-15 18:15:01,%RH,32,68
17-07-15 19:15:01,%RH,32,68
17-07-15 20:15:01,%RH,34,004
17-07-15 21:15:01,%RH,35,978
17-07-15 22:15:01,%RH,36,633
17-07-15 23:15:01,%RH,37,287
18-07-15 0:15:01,%RH,37,939
18-07-15 1:15:01,%RH,38,589
18-07-15 2:15:01,%RH,39,238
18-07-15 3:15:01,%RH,38,589
18-07-15 4:15:01,%RH,39,238
18-07-15 5:15:01,%RH,39,238
18-07-15 6:15:01,%RH,39,885
18-07-15 7:15:01,%RH,40,53
18-07-15 8:15:01,%RH,44,371
18-07-15 9:15:01,%RH,46,27
18-07-15 10:15:01,%RH,43,735
18-07-15 11:15:01,%RH,43,735
18-07-15 12:15:01,%RH,42,458
18-07-15 13:15:01,%RH,42,458
18-07-15 14:15:01,%RH,42,458
18-07-15 15:15:01,%RH,41,174
18-07-15 16:15:01,%RH,39,885
18-07-15 17:15:01,%RH,41,174
18-07-15 18:15:01,%RH,41,174
18-07-15 19:15:01,%RH,41,174
18-07-15 20:15:01,%RH,41,174
18-07-15 21:15:01,%RH,41,817
18-07-15 22:15:01,%RH,42,458
18-07-15 23:15:01,%RH,35,322
19-07-15 0:15:01,%RH,35,978
19-07-15 1:15:01,%RH,37,287
19-07-15 2:15:01,%RH,37,287
19-07-15 3:15:01,%RH,38,589
19-07-15 4:15:01,%RH,39,238
19-07-15 5:15:01,%RH,41,174
19-07-15 6:15:01,%RH,42,458
19-07-15 7:15:01,%RH,45,006
19-07-15 8:15:01,%RH,48,155
19-07-15 9:15:01,%RH,46,27
19-07-15 10:15:01,%RH,43,097
19-07-15 11:15:01,%RH,43,097
19-07-15 12:15:01,%RH,42,458
19-07-15 13:15:01,%RH,41,174
19-07-15 14:15:01,%RH,39,238
19-07-15 15:15:01,%RH,37,287
19-07-15 16:15:01,%RH,37,287
19-07-15 17:15:01,%RH,40,53
19-07-15 18:15:01,%RH,43,097
19-07-15 19:15:01,%RH,41,817
19-07-15 20:15:01,%RH,41,817
19-07-15 21:15:01,%RH,41,174
19-07-15 22:15:01,%RH,40,53
19-07-15 23:15:01,%RH,40,53
20-07-15 0:15:01,%RH,40,53
20-07-15 1:15:01,%RH,40,53
20-07-15 2:15:01,%RH,41,174
20-07-15 3:15:01,%RH,41,817
20-07-15 4:15:01,%RH,42,458
20-07-15 5:15:01,%RH,43,097
20-07-15 6:15:01,%RH,52,499
20-07-15 7:15:01,%RH,57,369
20-07-15 8:15:01,%RH,47,528
20-07-15 9:15:01,%RH,35,322
20-07-15 10:15:01,%RH,45,639
20-07-15 11:15:01,%RH,35,322
20-07-15 12:15:01,%RH,17,701
20-07-15 13:15:01,%RH,21,862
20-07-15 14:15:01,%RH,18,399
20-07-15 15:15:01,%RH,16,302
20-07-15 16:15:01,%RH,17,003
20-07-15 17:15:01,%RH,57,971
20-07-15 18:15:01,%RH,68,534
20-07-15 19:15:01,%RH,81,292
20-07-15 20:15:01,%RH,80,216
20-07-15 21:15:01,%RH,79,133
20-07-15 22:15:01,%RH,78,044
20-07-15 23:15:01,%RH,80,216
21-07-15 0:15:01,%RH,83,426
21-07-15 1:15:01,%RH,83,956
21-07-15 2:15:01,%RH,85,536
21-07-15 3:15:01,%RH,88,137
21-07-15 4:15:01,%RH,88,137
21-07-15 5:15:01,%RH,85,536
21-07-15 6:15:01,%RH,83,956
21-07-15 7:15:01,%RH,65,65
21-07-15 8:15:01,%RH,56,766
21-07-15 9:15:01,%RH,53,726
21-07-15 10:15:01,%RH,44,371
21-07-15 11:15:01,%RH,33,343
21-07-15 12:15:01,%RH,25,285
21-07-15 13:15:01,%RH,14,897
21-07-15 14:15:01,%RH,18,399
21-07-15 15:15:01,%RH,16,302
21-07-15 16:15:01,%RH,17,003
21-07-15 17:15:01,%RH,26,644
21-07-15 18:15:01,%RH,35,978
21-07-15 19:15:01,%RH,37,287
21-07-15 20:15:01,%RH,48,155
21-07-15 21:15:01,%RH,63,316
21-07-15 22:15:01,%RH,63,316
21-07-15 23:15:01,%RH,67,385
22-07-15 0:15:01,%RH,69,676
22-07-15 1:15:01,%RH,70,812
22-07-15 2:15:01,%RH,74,739
22-07-15 3:15:01,%RH,75,294
22-07-15 4:15:01,%RH,75,847
22-07-15 5:15:01,%RH,75,847
22-07-15 6:15:01,%RH,76,398
22-07-15 7:15:01,%RH,74,739
22-07-15 8:15:01,%RH,67,385
22-07-15 9:15:01,%RH,54,337
22-07-15 10:15:01,%RH,40,53
22-07-15 11:15:01,%RH,25,285
22-07-15 12:15:01,%RH,14,897
22-07-15 13:15:01,%RH,14,897
22-07-15 14:15:01,%RH,13,485
22-07-15 15:15:01,%RH,10,642
22-07-15 16:15:01,%RH,9,212
22-07-15 17:15:01,%RH,14,897
22-07-15 18:15:01,%RH,27,996
22-07-15 19:15:01,%RH,48,155
22-07-15 20:15:01,%RH,43,735
22-07-15 21:15:01,%RH,46,9
22-07-15 22:15:01,%RH,49,404
22-07-15 23:15:01,%RH,52,499
23-07-15 0:15:01,%RH,56,766
23-07-15 1:15:01,%RH,56,161
23-07-15 2:15:01,%RH,55,554
23-07-15 3:15:01,%RH,61,548
23-07-15 4:15:01,%RH,64,486
23-07-15 5:15:01,%RH,60,362
23-07-15 6:15:01,%RH,63,316
23-07-15 7:15:01,%RH,46,27
23-07-15 8:15:01,%RH,43,097
23-07-15 9:15:01,%RH,35,322
23-07-15 10:15:01,%RH,27,321
23-07-15 11:15:01,%RH,25,966
23-07-15 12:15:01,%RH,23,236
23-07-15 13:15:01,%RH,21,172
23-07-15 14:15:01,%RH,20,481
23-07-15 15:15:01,%RH,19,094
23-07-15 16:15:01,%RH,19,789
23-07-15 17:15:01,%RH,20,481
23-07-15 18:15:01,%RH,21,862
23-07-15 19:15:01,%RH,23,921
23-07-15 20:15:01,%RH,25,285
23-07-15 21:15:01,%RH,27,321
23-07-15 22:15:01,%RH,27,996
23-07-15 23:15:01,%RH,28,67
24-07-15 0:15:01,%RH,30,682
24-07-15 1:15:01,%RH,32,016
24-07-15 2:15:01,%RH,32,68
24-07-15 3:15:01,%RH,34,004
24-07-15 4:15:01,%RH,35,322
24-07-15 5:15:01,%RH,36,633
24-07-15 6:15:01,%RH,37,939
24-07-15 7:15:01,%RH,36,633
24-07-15 8:15:01,%RH,32,016
24-07-15 9:15:01,%RH,33,343
24-07-15 10:15:01,%RH,33,343
24-07-15 11:15:01,%RH,34,664
24-07-15 12:15:01,%RH,34,004
24-07-15 13:15:01,%RH,34,664
24-07-15 14:15:01,%RH,34,664
24-07-15 15:15:01,%RH,36,633
24-07-15 16:15:01,%RH,36,633
24-07-15 17:15:01,%RH,35,978
24-07-15 18:15:01,%RH,35,322
24-07-15 19:15:01,%RH,34,664
24-07-15 20:15:01,%RH,34,664
24-07-15 21:15:01,%RH,35,322
24-07-15 22:15:01,%RH,35,322
24-07-15 23:15:01,%RH,36,633
25-07-15 0:15:01,%RH,37,287
25-07-15 1:15:01,%RH,37,939
25-07-15 2:15:01,%RH,38,589
25-07-15 3:15:01,%RH,39,238
25-07-15 4:15:01,%RH,39,885
25-07-15 5:15:01,%RH,40,53
25-07-15 6:15:01,%RH,39,885
25-07-15 7:15:01,%RH,40,53
25-07-15 8:15:01,%RH,41,174
25-07-15 9:15:01,%RH,41,174
25-07-15 10:15:01,%RH,41,817
25-07-15 11:15:01,%RH,42,458
25-07-15 12:15:01,%RH,41,817
25-07-15 13:15:01,%RH,39,885
25-07-15 14:15:01,%RH,39,238
25-07-15 15:15:01,%RH,38,589
25-07-15 16:15:01,%RH,27,996
25-07-15 17:15:01,%RH,25,285
25-07-15 18:15:01,%RH,25,966
25-07-15 19:15:01,%RH,26,644
25-07-15 20:15:01,%RH,29,342
