Date/Time,Unit,Value,a
07-07-15 21:13:01,%RH,46,513
07-07-15 22:13:01,%RH,48,999
07-07-15 23:13:01,%RH,49,617
08-07-15 0:13:01,%RH,51,461
08-07-15 1:13:01,%RH,53,293
08-07-15 2:13:01,%RH,55,111
08-07-15 3:13:01,%RH,55,714
08-07-15 4:13:01,%RH,56,316
08-07-15 5:13:01,%RH,58,112
08-07-15 6:13:01,%RH,59,302
08-07-15 7:13:01,%RH,59,894
08-07-15 8:13:01,%RH,58,707
08-07-15 9:13:01,%RH,58,112
08-07-15 10:13:01,%RH,51,461
08-07-15 11:13:01,%RH,49,617
08-07-15 12:13:01,%RH,45,888
08-07-15 13:13:01,%RH,38,271
08-07-15 14:13:01,%RH,48,38
08-07-15 15:13:01,%RH,55,714
08-07-15 16:13:01,%RH,55,714
08-07-15 17:13:01,%RH,56,316
08-07-15 18:13:01,%RH,56,316
08-07-15 19:13:01,%RH,56,316
08-07-15 20:13:01,%RH,57,514
08-07-15 21:13:01,%RH,58,707
08-07-15 22:13:01,%RH,58,707
08-07-15 23:13:01,%RH,58,707
09-07-15 0:13:01,%RH,59,302
09-07-15 1:13:01,%RH,59,894
09-07-15 2:13:01,%RH,60,486
09-07-15 3:13:01,%RH,61,075
09-07-15 4:13:01,%RH,61,075
09-07-15 5:13:01,%RH,61,664
09-07-15 6:13:01,%RH,61,664
09-07-15 7:13:01,%RH,62,251
09-07-15 8:13:01,%RH,62,251
09-07-15 9:13:01,%RH,61,664
09-07-15 10:13:01,%RH,59,894
09-07-15 11:13:01,%RH,59,894
09-07-15 12:13:01,%RH,57,514
09-07-15 13:13:01,%RH,58,707
09-07-15 14:13:01,%RH,59,302
09-07-15 15:13:01,%RH,59,302
09-07-15 16:13:01,%RH,61,075
09-07-15 17:13:01,%RH,61,075
09-07-15 18:13:01,%RH,61,075
09-07-15 19:13:01,%RH,61,664
09-07-15 20:13:01,%RH,61,664
09-07-15 21:13:01,%RH,62,836
09-07-15 22:13:01,%RH,62,836
09-07-15 23:13:01,%RH,62,836
10-07-15 0:13:01,%RH,64,002
10-07-15 1:13:01,%RH,63,42
10-07-15 2:13:01,%RH,63,42
10-07-15 3:13:01,%RH,63,42
10-07-15 4:13:01,%RH,63,42
10-07-15 5:13:01,%RH,64,583
10-07-15 6:13:01,%RH,65,163
10-07-15 7:13:01,%RH,65,163
10-07-15 8:13:01,%RH,64,583
10-07-15 9:13:01,%RH,64,002
10-07-15 10:13:01,%RH,63,42
10-07-15 11:13:01,%RH,63,42
10-07-15 12:13:01,%RH,62,836
10-07-15 13:13:01,%RH,63,42
10-07-15 14:13:01,%RH,63,42
10-07-15 15:13:01,%RH,62,251
10-07-15 16:13:01,%RH,61,075
10-07-15 17:13:01,%RH,60,486
10-07-15 18:13:01,%RH,60,486
10-07-15 19:13:01,%RH,61,664
10-07-15 20:13:01,%RH,61,664
10-07-15 21:13:01,%RH,62,251
10-07-15 22:13:01,%RH,62,251
10-07-15 23:13:01,%RH,64,002
11-07-15 0:13:01,%RH,63,42
11-07-15 1:13:01,%RH,64,002
11-07-15 2:13:01,%RH,64,583
11-07-15 3:13:01,%RH,65,163
11-07-15 4:13:01,%RH,64,583
11-07-15 5:13:01,%RH,65,163
11-07-15 6:13:01,%RH,64,583
11-07-15 7:13:01,%RH,65,163
11-07-15 8:13:01,%RH,64,583
11-07-15 9:13:01,%RH,63,42
11-07-15 10:13:01,%RH,63,42
11-07-15 11:13:01,%RH,63,42
11-07-15 12:13:01,%RH,62,251
11-07-15 13:13:01,%RH,61,664
11-07-15 14:13:01,%RH,45,888
11-07-15 15:13:01,%RH,51,461
11-07-15 16:13:01,%RH,42,74
11-07-15 17:13:01,%RH,42,106
11-07-15 18:13:01,%RH,35,685
11-07-15 19:13:01,%RH,40,833
11-07-15 20:13:01,%RH,45,888
11-07-15 21:13:01,%RH,49,617
11-07-15 22:13:01,%RH,51,461
11-07-15 23:13:01,%RH,52,684
12-07-15 0:13:01,%RH,55,714
12-07-15 1:13:01,%RH,55,714
12-07-15 2:13:01,%RH,56,316
12-07-15 3:13:01,%RH,58,112
12-07-15 4:13:01,%RH,58,112
12-07-15 5:13:01,%RH,58,707
12-07-15 6:13:01,%RH,58,112
12-07-15 7:13:01,%RH,57,514
12-07-15 8:13:01,%RH,56,316
12-07-15 9:13:01,%RH,55,714
12-07-15 10:13:01,%RH,55,714
12-07-15 11:13:01,%RH,55,714
12-07-15 12:13:01,%RH,55,111
12-07-15 13:13:01,%RH,53,9
12-07-15 14:13:01,%RH,53,9
12-07-15 15:13:01,%RH,52,684
12-07-15 16:13:01,%RH,52,684
12-07-15 17:13:01,%RH,52,073
12-07-15 18:13:01,%RH,52,073
12-07-15 19:13:01,%RH,52,684
12-07-15 20:13:01,%RH,53,293
12-07-15 21:13:01,%RH,54,506
12-07-15 22:13:01,%RH,55,714
12-07-15 23:13:01,%RH,56,916
13-07-15 0:13:01,%RH,57,514
13-07-15 1:13:01,%RH,58,707
13-07-15 2:13:01,%RH,58,707
13-07-15 3:13:01,%RH,59,302
13-07-15 4:13:01,%RH,59,894
13-07-15 5:13:01,%RH,60,486
13-07-15 6:13:01,%RH,61,075
13-07-15 7:13:01,%RH,59,302
13-07-15 8:13:01,%RH,58,112
13-07-15 9:13:01,%RH,57,514
13-07-15 10:13:01,%RH,56,916
13-07-15 11:13:01,%RH,56,316
13-07-15 12:13:01,%RH,54,506
13-07-15 13:13:01,%RH,53,293
13-07-15 14:13:01,%RH,52,073
13-07-15 15:13:01,%RH,51,461
13-07-15 16:13:01,%RH,50,233
13-07-15 17:13:01,%RH,48,38
13-07-15 18:13:01,%RH,47,759
13-07-15 19:13:01,%RH,47,137
13-07-15 20:13:01,%RH,48,38
13-07-15 21:13:01,%RH,47,137
13-07-15 22:13:01,%RH,47,137
13-07-15 23:13:01,%RH,47,759
14-07-15 0:13:01,%RH,47,759
14-07-15 1:13:01,%RH,47,759
14-07-15 2:13:01,%RH,47,137
14-07-15 3:13:01,%RH,47,137
14-07-15 4:13:01,%RH,47,759
14-07-15 5:13:01,%RH,47,759
14-07-15 6:13:01,%RH,47,759
14-07-15 7:13:01,%RH,47,759
14-07-15 8:13:01,%RH,47,759
14-07-15 9:13:01,%RH,48,38
14-07-15 10:13:01,%RH,48,999
14-07-15 11:13:01,%RH,49,617
14-07-15 12:13:01,%RH,49,617
14-07-15 13:13:01,%RH,50,233
14-07-15 14:13:01,%RH,50,233
14-07-15 15:13:01,%RH,50,848
14-07-15 16:13:01,%RH,50,848
14-07-15 17:13:01,%RH,50,233
14-07-15 18:13:01,%RH,48,999
14-07-15 19:13:01,%RH,48,999
14-07-15 20:13:01,%RH,48,999
14-07-15 21:13:01,%RH,48,38
14-07-15 22:13:01,%RH,48,38
14-07-15 23:13:01,%RH,47,759
15-07-15 0:13:01,%RH,48,999
15-07-15 1:13:01,%RH,47,137
15-07-15 2:13:01,%RH,47,759
15-07-15 3:13:01,%RH,47,759
15-07-15 4:13:01,%RH,47,759
15-07-15 5:13:01,%RH,47,759
15-07-15 6:13:01,%RH,48,38
15-07-15 7:13:01,%RH,48,999
15-07-15 8:13:01,%RH,50,233
15-07-15 9:13:01,%RH,48,999
15-07-15 10:13:01,%RH,50,233
15-07-15 11:13:01,%RH,36,333
15-07-15 12:13:01,%RH,28,451
15-07-15 13:13:01,%RH,28,451
15-07-15 14:13:01,%RH,27,117
15-07-15 15:13:01,%RH,23,755
15-07-15 16:13:01,%RH,30,441
15-07-15 17:13:01,%RH,31,102
15-07-15 18:13:01,%RH,37,626
15-07-15 19:13:01,%RH,40,833
15-07-15 20:13:01,%RH,48,38
15-07-15 21:13:01,%RH,53,9
15-07-15 22:13:01,%RH,57,514
15-07-15 23:13:01,%RH,59,894
16-07-15 0:13:01,%RH,62,836
16-07-15 1:13:01,%RH,66,318
16-07-15 2:13:01,%RH,69,178
16-07-15 3:13:01,%RH,72,562
16-07-15 4:13:01,%RH,75,342
16-07-15 5:13:01,%RH,78,085
16-07-15 6:13:01,%RH,80,791
16-07-15 7:13:01,%RH,79,713
16-07-15 8:13:01,%RH,62,251
16-07-15 9:13:01,%RH,59,894
16-07-15 10:13:01,%RH,31,761
16-07-15 11:13:01,%RH,32,419
16-07-15 12:13:01,%RH,27,785
16-07-15 13:13:01,%RH,22,4
16-07-15 14:13:01,%RH,22,4
16-07-15 15:13:01,%RH,32,419
16-07-15 16:13:01,%RH,30,441
16-07-15 17:13:01,%RH,28,451
16-07-15 18:13:01,%RH,38,914
16-07-15 19:13:01,%RH,47,137
16-07-15 20:13:01,%RH,50,233
16-07-15 21:13:01,%RH,53,9
16-07-15 22:13:01,%RH,60,486
16-07-15 23:13:01,%RH,64,583
17-07-15 0:13:01,%RH,67,466
17-07-15 1:13:01,%RH,71,44
17-07-15 2:13:01,%RH,74,789
17-07-15 3:13:01,%RH,78,085
17-07-15 4:13:01,%RH,80,253
17-07-15 5:13:01,%RH,82,929
17-07-15 6:13:01,%RH,85,044
17-07-15 7:13:01,%RH,82,929
17-07-15 8:13:01,%RH,70,877
17-07-15 9:13:01,%RH,61,075
17-07-15 10:13:01,%RH,34,383
17-07-15 11:13:01,%RH,28,451
17-07-15 12:13:01,%RH,25,104
17-07-15 13:13:01,%RH,27,117
17-07-15 14:13:01,%RH,31,761
17-07-15 15:13:01,%RH,27,785
17-07-15 16:13:01,%RH,27,785
17-07-15 17:13:01,%RH,29,779
17-07-15 18:13:01,%RH,28,451
17-07-15 19:13:01,%RH,36,981
17-07-15 20:13:01,%RH,45,261
17-07-15 21:13:01,%RH,52,684
17-07-15 22:13:01,%RH,57,514
17-07-15 23:13:01,%RH,61,075
18-07-15 0:13:01,%RH,64,583
18-07-15 1:13:01,%RH,65,741
18-07-15 2:13:01,%RH,66,318
18-07-15 3:13:01,%RH,66,893
18-07-15 4:13:01,%RH,69,178
18-07-15 5:13:01,%RH,68,609
18-07-15 6:13:01,%RH,71,44
18-07-15 7:13:01,%RH,63,42
18-07-15 8:13:01,%RH,55,714
18-07-15 9:13:01,%RH,44,004
18-07-15 10:13:01,%RH,27,117
18-07-15 11:13:01,%RH,25,776
18-07-15 12:13:01,%RH,21,039
18-07-15 13:13:01,%RH,23,755
18-07-15 14:13:01,%RH,25,776
18-07-15 15:13:01,%RH,27,117
18-07-15 16:13:01,%RH,26,447
18-07-15 17:13:01,%RH,25,776
18-07-15 18:13:01,%RH,26,447
18-07-15 19:13:01,%RH,27,785
18-07-15 20:13:01,%RH,28,451
18-07-15 21:13:01,%RH,29,779
18-07-15 22:13:01,%RH,31,102
18-07-15 23:13:01,%RH,31,761
19-07-15 0:13:01,%RH,33,729
19-07-15 1:13:01,%RH,35,034
19-07-15 2:13:01,%RH,35,685
19-07-15 3:13:01,%RH,36,981
19-07-15 4:13:01,%RH,37,626
19-07-15 5:13:01,%RH,38,271
19-07-15 6:13:01,%RH,38,914
19-07-15 7:13:01,%RH,39,555
19-07-15 8:13:01,%RH,39,555
19-07-15 9:13:01,%RH,38,914
19-07-15 10:13:01,%RH,37,626
19-07-15 11:13:01,%RH,38,271
19-07-15 12:13:01,%RH,38,914
19-07-15 13:13:01,%RH,38,271
19-07-15 14:13:01,%RH,37,626
19-07-15 15:13:01,%RH,38,271
19-07-15 16:13:01,%RH,37,626
19-07-15 17:13:01,%RH,36,981
19-07-15 18:13:01,%RH,38,271
19-07-15 19:13:01,%RH,38,271
19-07-15 20:13:01,%RH,38,271
19-07-15 21:13:01,%RH,38,914
19-07-15 22:13:01,%RH,38,914
19-07-15 23:13:01,%RH,39,555
20-07-15 0:13:01,%RH,39,555
20-07-15 1:13:01,%RH,41,47
20-07-15 2:13:01,%RH,40,833
20-07-15 3:13:01,%RH,42,106
20-07-15 4:13:01,%RH,42,74
20-07-15 5:13:01,%RH,43,372
20-07-15 6:13:01,%RH,42,74
20-07-15 7:13:01,%RH,46,513
20-07-15 8:13:01,%RH,49,617
20-07-15 9:13:01,%RH,50,233
20-07-15 10:13:01,%RH,50,848
20-07-15 11:13:01,%RH,49,617
20-07-15 12:13:01,%RH,47,137
20-07-15 13:13:01,%RH,42,106
20-07-15 14:13:01,%RH,42,74
