Date/Time,Unit,Value,a
17-07-2016 16:01,C,28,525
17-07-2016 17:01,C,27,25
17-07-2016 18:01,C,25,525
17-07-2016 19:01,C,25,25
17-07-2016 20:01,C,25,25
17-07-2016 21:01,C,25,525
17-07-2016 22:01,C,23,525
17-07-2016 23:01,C,21,525
18-07-2016 0:01,C,21,25
18-07-2016 1:01,C,21,25
18-07-2016 2:01,C,20,525
18-07-2016 3:01,C,20,525
18-07-2016 4:01,C,20,25
18-07-2016 5:01,C,20,25
18-07-2016 6:01,C,19,525
18-07-2016 7:01,C,19,525
18-07-2016 8:01,C,19,525
18-07-2016 9:01,C,20,25
18-07-2016 10:01,C,22,25
18-07-2016 11:01,C,28,525
18-07-2016 12:01,C,52,16
18-07-2016 13:01,C,57,12
18-07-2016 14:01,C,60,509
18-07-2016 15:01,C,58,511
18-07-2016 16:01,C,42,522
18-07-2016 17:01,C,46,2
18-07-2016 18:01,C,38,523
18-07-2016 19:01,C,28,525
18-07-2016 20:01,C,20,25
18-07-2016 21:01,C,14,24
18-07-2016 22:01,C,12,23
18-07-2016 23:01,C,10,523
19-07-2016 0:01,C,10,22
19-07-2016 1:01,C,9,22
19-07-2016 2:01,C,8,522
19-07-2016 3:01,C,7,521
19-07-2016 4:01,C,7,21
19-07-2016 5:01,C,7,21
19-07-2016 6:01,C,6,521
19-07-2016 7:01,C,7,21
19-07-2016 8:01,C,7,521
19-07-2016 9:01,C,10,523
19-07-2016 10:01,C,15,24
19-07-2016 11:01,C,45,2
19-07-2016 12:01,C,55,14
19-07-2016 13:01,C,60,509
19-07-2016 14:01,C,63,7
19-07-2016 15:01,C,56,13
19-07-2016 16:01,C,43,521
19-07-2016 17:01,C,48,518
19-07-2016 18:01,C,40,522
19-07-2016 19:01,C,31,25
19-07-2016 20:01,C,21,525
19-07-2016 21:01,C,15,524
19-07-2016 22:01,C,13,524
19-07-2016 23:01,C,12,23
20-07-2016 0:01,C,11,523
20-07-2016 1:01,C,11,23
20-07-2016 2:01,C,10,22
20-07-2016 3:01,C,9,22
20-07-2016 4:01,C,8,21
20-07-2016 5:01,C,7,521
20-07-2016 6:01,C,7,21
20-07-2016 7:01,C,7,521
20-07-2016 8:01,C,9,22
20-07-2016 9:01,C,11,23
20-07-2016 10:01,C,15,524
20-07-2016 11:01,C,45,52
20-07-2016 12:01,C,58,12
20-07-2016 13:01,C,63,506
20-07-2016 14:01,C,63,506
20-07-2016 15:01,C,63,506
20-07-2016 16:01,C,47,519
20-07-2016 17:01,C,50,517
20-07-2016 18:01,C,43,521
20-07-2016 19:01,C,32,25
20-07-2016 20:01,C,23,25
20-07-2016 21:01,C,17,24
20-07-2016 22:01,C,15,24
20-07-2016 23:01,C,13,23
21-07-2016 0:01,C,13,23
21-07-2016 1:01,C,12,23
21-07-2016 2:01,C,11,523
21-07-2016 3:01,C,11,523
21-07-2016 4:01,C,10,523
21-07-2016 5:01,C,10,22
21-07-2016 6:01,C,9,22
21-07-2016 7:01,C,9,522
21-07-2016 8:01,C,12,523
21-07-2016 9:01,C,14,524
21-07-2016 10:01,C,23,25
21-07-2016 11:01,C,23,525
21-07-2016 12:01,C,24,525
21-07-2016 13:01,C,26,525
21-07-2016 14:01,C,28,25
21-07-2016 15:01,C,25,525
