Date/Time,Unit,Value,a
21-07-2016 16:26,%RH,25,663
21-07-2016 17:26,%RH,27,28
21-07-2016 18:26,%RH,24,978
21-07-2016 19:26,%RH,24,978
21-07-2016 20:26,%RH,26,346
21-07-2016 21:26,%RH,28,387
21-07-2016 22:26,%RH,30,415
21-07-2016 23:26,%RH,30,415
22-07-2016 0:26,%RH,31,76
22-07-2016 1:26,%RH,31,76
22-07-2016 2:26,%RH,32,43
22-07-2016 3:26,%RH,33,98
22-07-2016 4:26,%RH,33,98
22-07-2016 5:26,%RH,33,765
22-07-2016 6:26,%RH,34,431
22-07-2016 7:26,%RH,34,431
22-07-2016 8:26,%RH,37,738
22-07-2016 9:26,%RH,41,8
22-07-2016 10:26,%RH,41,8
22-07-2016 11:26,%RH,39,705
22-07-2016 12:26,%RH,33,765
22-07-2016 13:26,%RH,27,28
22-07-2016 14:26,%RH,22,225
22-07-2016 15:26,%RH,22,225
22-07-2016 16:26,%RH,26,346
22-07-2016 17:26,%RH,27,28
22-07-2016 18:26,%RH,27,708
22-07-2016 19:26,%RH,27,708
22-07-2016 20:26,%RH,27,708
22-07-2016 21:26,%RH,29,65
22-07-2016 22:26,%RH,31,88
22-07-2016 23:26,%RH,33,98
23-07-2016 0:26,%RH,32,43
23-07-2016 1:26,%RH,32,43
23-07-2016 2:26,%RH,32,43
23-07-2016 3:26,%RH,33,765
23-07-2016 4:26,%RH,33,765
23-07-2016 5:26,%RH,34,431
23-07-2016 6:26,%RH,33,765
23-07-2016 7:26,%RH,33,98
23-07-2016 8:26,%RH,33,98
23-07-2016 9:26,%RH,33,98
23-07-2016 10:26,%RH,33,765
23-07-2016 11:26,%RH,35,758
23-07-2016 12:26,%RH,34,431
23-07-2016 13:26,%RH,33,98
23-07-2016 14:26,%RH,33,98
23-07-2016 15:26,%RH,31,76
23-07-2016 16:26,%RH,31,88
23-07-2016 17:26,%RH,30,415
23-07-2016 18:26,%RH,30,415
23-07-2016 19:26,%RH,28,387
23-07-2016 20:26,%RH,28,387
23-07-2016 21:26,%RH,28,387
23-07-2016 22:26,%RH,29,74
