Date/Time,Unit,Value,a
13-07-15 16:00:01,C,27,619
13-07-15 17:00:01,C,24,619
13-07-15 18:00:01,C,24,619
13-07-15 19:00:01,C,24,119
13-07-15 20:00:01,C,24,119
13-07-15 21:00:01,C,24,119
13-07-15 22:00:01,C,23,619
13-07-15 23:00:01,C,22,618
14-07-15 0:00:01,C,22,118
14-07-15 1:00:01,C,21,118
14-07-15 2:00:01,C,20,617
14-07-15 3:00:01,C,20,117
14-07-15 4:00:01,C,19,116
14-07-15 5:00:01,C,18,615
14-07-15 6:00:01,C,18,115
14-07-15 7:00:01,C,18,115
14-07-15 8:00:01,C,18,615
14-07-15 9:00:01,C,20,117
14-07-15 10:00:01,C,25,619
14-07-15 11:00:01,C,27,619
14-07-15 12:00:01,C,35,112
14-07-15 13:00:01,C,45,089
14-07-15 14:00:01,C,38,107
14-07-15 15:00:01,C,34,113
14-07-15 16:00:01,C,25,119
14-07-15 17:00:01,C,25,619
14-07-15 18:00:01,C,22,118
14-07-15 19:00:01,C,19,616
14-07-15 20:00:01,C,15,611
14-07-15 21:00:01,C,14,109
14-07-15 22:00:01,C,13,107
14-07-15 23:00:01,C,13,107
15-07-15 0:00:01,C,13,107
15-07-15 1:00:01,C,13,107
15-07-15 2:00:01,C,12,606
15-07-15 3:00:01,C,12,105
15-07-15 4:00:01,C,11,604
15-07-15 5:00:01,C,11,604
15-07-15 6:00:01,C,12,105
15-07-15 7:00:01,C,13,608
15-07-15 8:00:01,C,15,611
15-07-15 9:00:01,C,18,115
15-07-15 10:00:01,C,27,119
15-07-15 11:00:01,C,23,619
15-07-15 12:00:01,C,34,613
15-07-15 13:00:01,C,31,117
15-07-15 14:00:01,C,48,577
15-07-15 15:00:01,C,28,119
15-07-15 16:00:01,C,28,119
15-07-15 17:00:01,C,28,618
15-07-15 18:00:01,C,24,619
15-07-15 19:00:01,C,21,618
15-07-15 20:00:01,C,18,115
15-07-15 21:00:01,C,16,613
15-07-15 22:00:01,C,15,611
15-07-15 23:00:01,C,15,111
16-07-15 0:00:01,C,15,111
16-07-15 1:00:01,C,15,111
16-07-15 2:00:01,C,15,111
16-07-15 3:00:01,C,14,61
16-07-15 4:00:01,C,15,111
16-07-15 5:00:01,C,15,111
16-07-15 6:00:01,C,15,111
16-07-15 7:00:01,C,16,112
16-07-15 8:00:01,C,17,614
16-07-15 9:00:01,C,19,616
16-07-15 10:00:01,C,29,618
16-07-15 11:00:01,C,26,119
16-07-15 12:00:01,C,42,098
16-07-15 13:00:01,C,32,615
16-07-15 14:00:01,C,51,566
16-07-15 15:00:01,C,30,118
16-07-15 16:00:01,C,29,618
16-07-15 17:00:01,C,30,118
16-07-15 18:00:01,C,25,619
16-07-15 19:00:01,C,23,119
16-07-15 20:00:01,C,19,116
16-07-15 21:00:01,C,17,614
16-07-15 22:00:01,C,16,613
16-07-15 23:00:01,C,16,112
17-07-15 0:00:01,C,15,611
17-07-15 1:00:01,C,15,611
17-07-15 2:00:01,C,15,611
17-07-15 3:00:01,C,15,111
17-07-15 4:00:01,C,15,111
17-07-15 5:00:01,C,15,111
17-07-15 6:00:01,C,15,611
17-07-15 7:00:01,C,17,113
17-07-15 8:00:01,C,20,617
17-07-15 9:00:01,C,28,119
17-07-15 10:00:01,C,31,117
17-07-15 11:00:01,C,33,115
17-07-15 12:00:01,C,27,619
17-07-15 13:00:01,C,27,119
17-07-15 14:00:01,C,28,119
17-07-15 15:00:01,C,29,118
17-07-15 16:00:01,C,31,117
17-07-15 17:00:01,C,23,619
