Date/Time,Unit,Value,a
07-07-15 21:21:01,C,27,619
07-07-15 22:21:01,C,23,119
07-07-15 23:21:01,C,22,618
08-07-15 0:21:01,C,22,118
08-07-15 1:21:01,C,21,618
08-07-15 2:21:01,C,21,118
08-07-15 3:21:01,C,20,617
08-07-15 4:21:01,C,20,117
08-07-15 5:21:01,C,19,116
08-07-15 6:21:01,C,18,615
08-07-15 7:21:01,C,18,615
08-07-15 8:21:01,C,19,616
08-07-15 9:21:01,C,21,618
08-07-15 10:21:01,C,26,119
08-07-15 11:21:01,C,44,591
08-07-15 12:21:01,C,29,618
08-07-15 13:21:01,C,31,117
08-07-15 14:21:01,C,25,619
08-07-15 15:21:01,C,27,619
08-07-15 16:21:01,C,19,116
08-07-15 17:21:01,C,14,109
08-07-15 18:21:01,C,13,608
08-07-15 19:21:01,C,12,606
08-07-15 20:21:01,C,12,105
08-07-15 21:21:01,C,11,604
08-07-15 22:21:01,C,9,599
08-07-15 23:21:01,C,9,098
09-07-15 0:21:01,C,8,596
09-07-15 1:21:01,C,8,095
09-07-15 2:21:01,C,8,095
09-07-15 3:21:01,C,8,095
09-07-15 4:21:01,C,6,591
09-07-15 5:21:01,C,7,594
09-07-15 6:21:01,C,10,601
09-07-15 7:21:01,C,13,107
09-07-15 8:21:01,C,18,615
09-07-15 9:21:01,C,26,619
09-07-15 10:21:01,C,40,601
09-07-15 11:21:01,C,40,103
09-07-15 12:21:01,C,17,113
09-07-15 13:21:01,C,28,119
09-07-15 14:21:01,C,16,112
09-07-15 15:21:01,C,14,61
09-07-15 16:21:01,C,15,611
09-07-15 17:21:01,C,13,107
09-07-15 18:21:01,C,12,606
09-07-15 19:21:01,C,11,103
09-07-15 20:21:01,C,11,604
09-07-15 21:21:01,C,11,604
09-07-15 22:21:01,C,11,103
09-07-15 23:21:01,C,10,1
10-07-15 0:21:01,C,8,596
10-07-15 1:21:01,C,8,095
10-07-15 2:21:01,C,8,095
10-07-15 3:21:01,C,9,098
10-07-15 4:21:01,C,9,098
10-07-15 5:21:01,C,8,095
10-07-15 6:21:01,C,11,604
10-07-15 7:21:01,C,14,61
10-07-15 8:21:01,C,28,618
10-07-15 9:21:01,C,31,117
10-07-15 10:21:01,C,26,619
10-07-15 11:21:01,C,37,608
10-07-15 12:21:01,C,33,614
10-07-15 13:21:01,C,41,1
10-07-15 14:21:01,C,34,613
10-07-15 15:21:01,C,23,619
10-07-15 16:21:01,C,22,618
10-07-15 17:21:01,C,20,617
10-07-15 18:21:01,C,17,113
10-07-15 19:21:01,C,14,61
10-07-15 20:21:01,C,12,105
10-07-15 21:21:01,C,10,1
10-07-15 22:21:01,C,10,601
10-07-15 23:21:01,C,10,1
11-07-15 0:21:01,C,8,095
11-07-15 1:21:01,C,7,092
11-07-15 2:21:01,C,6,089
11-07-15 3:21:01,C,5,588
11-07-15 4:21:01,C,5,086
11-07-15 5:21:01,C,7,594
11-07-15 6:21:01,C,11,604
11-07-15 7:21:01,C,14,61
11-07-15 8:21:01,C,28,119
11-07-15 9:21:01,C,48,079
11-07-15 10:21:01,C,57,538
11-07-15 11:21:01,C,62,014
11-07-15 12:21:01,C,56,543
11-07-15 13:21:01,C,42,596
11-07-15 14:21:01,C,40,103
11-07-15 15:21:01,C,23,619
11-07-15 16:21:01,C,20,617
11-07-15 17:21:01,C,25,619
11-07-15 18:21:01,C,28,119
11-07-15 19:21:01,C,24,619
11-07-15 20:21:01,C,23,619
11-07-15 21:21:01,C,22,618
11-07-15 22:21:01,C,22,118
11-07-15 23:21:01,C,21,618
12-07-15 0:21:01,C,21,618
12-07-15 1:21:01,C,21,118
12-07-15 2:21:01,C,20,617
12-07-15 3:21:01,C,20,117
12-07-15 4:21:01,C,19,616
12-07-15 5:21:01,C,19,616
12-07-15 6:21:01,C,19,616
12-07-15 7:21:01,C,19,616
12-07-15 8:21:01,C,19,616
12-07-15 9:21:01,C,20,117
12-07-15 10:21:01,C,20,117
12-07-15 11:21:01,C,20,617
12-07-15 12:21:01,C,21,118
12-07-15 13:21:01,C,21,618
12-07-15 14:21:01,C,22,118
12-07-15 15:21:01,C,22,618
12-07-15 16:21:01,C,23,119
12-07-15 17:21:01,C,23,619
12-07-15 18:21:01,C,23,619
12-07-15 19:21:01,C,23,119
12-07-15 20:21:01,C,23,119
12-07-15 21:21:01,C,22,618
12-07-15 22:21:01,C,22,118
12-07-15 23:21:01,C,21,618
13-07-15 0:21:01,C,21,118
13-07-15 1:21:01,C,20,617
13-07-15 2:21:01,C,20,117
13-07-15 3:21:01,C,19,616
13-07-15 4:21:01,C,19,116
13-07-15 5:21:01,C,18,615
13-07-15 6:21:01,C,18,115
13-07-15 7:21:01,C,18,615
13-07-15 8:21:01,C,18,615
13-07-15 9:21:01,C,19,116
13-07-15 10:21:01,C,19,616
13-07-15 11:21:01,C,20,117
13-07-15 12:21:01,C,21,118
13-07-15 13:21:01,C,21,618
13-07-15 14:21:01,C,22,618
13-07-15 15:21:01,C,23,119
