Date/Time,Unit,Value,a
7/7/2015 21:28,%RH,51,189
7/7/2015 22:28,%RH,51,803
7/7/2015 23:28,%RH,53,26
8/7/2015 0:28,%RH,51,803
8/7/2015 1:28,%RH,53,26
8/7/2015 2:28,%RH,53,635
8/7/2015 3:28,%RH,54,242
8/7/2015 4:28,%RH,54,848
8/7/2015 5:28,%RH,55,452
8/7/2015 6:28,%RH,56,655
8/7/2015 7:28,%RH,57,852
8/7/2015 8:28,%RH,61,402
8/7/2015 9:28,%RH,59,634
8/7/2015 10:28,%RH,56,655
8/7/2015 11:28,%RH,52,415
8/7/2015 12:28,%RH,46,219
8/7/2015 13:28,%RH,49,338
8/7/2015 14:28,%RH,46,846
8/7/2015 15:28,%RH,51,189
8/7/2015 16:28,%RH,100,
8/7/2015 17:28,%RH,100,
8/7/2015 18:28,%RH,100,
8/7/2015 19:28,%RH,100,
8/7/2015 20:28,%RH,100,
8/7/2015 21:28,%RH,100,
8/7/2015 22:28,%RH,100,
8/7/2015 23:28,%RH,100,
9/7/2015 0:28,%RH,100,
9/7/2015 1:28,%RH,100,
9/7/2015 2:28,%RH,100,
9/7/2015 3:28,%RH,100,
9/7/2015 4:28,%RH,100,
9/7/2015 5:28,%RH,100,
9/7/2015 6:28,%RH,100,
9/7/2015 7:28,%RH,100,
9/7/2015 8:28,%RH,100,
9/7/2015 9:28,%RH,100,
9/7/2015 10:28,%RH,100,
9/7/2015 11:28,%RH,35,962
9/7/2015 12:28,%RH,59,634
9/7/2015 13:28,%RH,66,616
9/7/2015 14:28,%RH,78,265
9/7/2015 15:28,%RH,100,
9/7/2015 16:28,%RH,100,
9/7/2015 17:28,%RH,100,
9/7/2015 18:28,%RH,100,
9/7/2015 19:28,%RH,100,
9/7/2015 20:28,%RH,100,
9/7/2015 21:28,%RH,100,
9/7/2015 22:28,%RH,100,
9/7/2015 23:28,%RH,100,
10/7/2015 0:28,%RH,100,
10/7/2015 1:28,%RH,100,
10/7/2015 2:28,%RH,100,
10/7/2015 3:28,%RH,100,
10/7/2015 4:28,%RH,100,
10/7/2015 5:28,%RH,100,
10/7/2015 6:28,%RH,100,
10/7/2015 7:28,%RH,100,
10/7/2015 8:28,%RH,100,
10/7/2015 9:28,%RH,100,
10/7/2015 10:28,%RH,100,
10/7/2015 11:28,%RH,59,42
10/7/2015 12:28,%RH,43,59
10/7/2015 13:28,%RH,61,988
10/7/2015 14:28,%RH,62,572
10/7/2015 15:28,%RH,63,736
10/7/2015 16:28,%RH,70,18
10/7/2015 17:28,%RH,75,11
10/7/2015 18:28,%RH,77,727
10/7/2015 19:28,%RH,86,654
10/7/2015 20:28,%RH,94,621
10/7/2015 21:28,%RH,100,
10/7/2015 22:28,%RH,100,
10/7/2015 23:28,%RH,100,
11/7/2015 0:28,%RH,100,
11/7/2015 1:28,%RH,100,
11/7/2015 2:28,%RH,100,
11/7/2015 3:28,%RH,100,
11/7/2015 4:28,%RH,100,
11/7/2015 5:28,%RH,100,
11/7/2015 6:28,%RH,100,
11/7/2015 7:28,%RH,100,
11/7/2015 8:28,%RH,98,918
11/7/2015 9:28,%RH,49,338
11/7/2015 10:28,%RH,37,267
11/7/2015 11:28,%RH,37,267
11/7/2015 12:28,%RH,49,338
11/7/2015 13:28,%RH,56,54
11/7/2015 14:28,%RH,53,26
11/7/2015 15:28,%RH,100,
11/7/2015 16:28,%RH,100,
11/7/2015 17:28,%RH,100,
11/7/2015 18:28,%RH,100,
11/7/2015 19:28,%RH,100,
11/7/2015 20:28,%RH,100,
11/7/2015 21:28,%RH,100,
11/7/2015 22:28,%RH,100,
11/7/2015 23:28,%RH,100,
12/7/2015 0:28,%RH,100,
12/7/2015 1:28,%RH,100,
12/7/2015 2:28,%RH,100,
12/7/2015 3:28,%RH,100,
12/7/2015 4:28,%RH,100,
12/7/2015 5:28,%RH,99,387
12/7/2015 6:28,%RH,90,191
12/7/2015 7:28,%RH,89,691
12/7/2015 8:28,%RH,87,673
12/7/2015 9:28,%RH,86,142
12/7/2015 10:28,%RH,85,113
12/7/2015 11:28,%RH,85,113
12/7/2015 12:28,%RH,84,77
12/7/2015 13:28,%RH,81,46
12/7/2015 14:28,%RH,77,187
12/7/2015 15:28,%RH,70,58
12/7/2015 16:28,%RH,64,315
12/7/2015 17:28,%RH,61,988
12/7/2015 18:28,%RH,65,469
12/7/2015 19:28,%RH,68,325
12/7/2015 20:28,%RH,69,455
12/7/2015 21:28,%RH,69,455
12/7/2015 22:28,%RH,68,325
12/7/2015 23:28,%RH,69,455
13-07-15 0:28:01,%RH,70,18
13-07-15 1:28:01,%RH,69,455
13-07-15 2:28:01,%RH,71,139
13-07-15 3:28:01,%RH,71,697
13-07-15 4:28:01,%RH,72,254
13-07-15 5:28:01,%RH,72,808
13-07-15 6:28:01,%RH,73,913
13-07-15 7:28:01,%RH,74,463
13-07-15 8:28:01,%RH,76,645
13-07-15 9:28:01,%RH,76,645
13-07-15 10:28:01,%RH,76,102
13-07-15 11:28:01,%RH,71,697
13-07-15 12:28:01,%RH,66,616
13-07-15 13:28:01,%RH,61,402
13-07-15 14:28:01,%RH,59,634
13-07-15 15:28:01,%RH,60,814
