Date/Time,Unit,Value,a
1/7/2015 7:49,C,25,162
1/7/2015 8:49,C,25,162
1/7/2015 9:49,C,23,662
1/7/2015 10:49,C,36,143
1/7/2015 11:49,C,48,579
1/7/2015 12:49,C,43,113
1/7/2015 13:49,C,29,159
1/7/2015 14:49,C,27,661
1/7/2015 15:49,C,24,662
1/7/2015 16:49,C,24,162
1/7/2015 17:49,C,21,661
1/7/2015 18:49,C,18,657
1/7/2015 19:49,C,17,154
1/7/2015 20:49,C,15,149
1/7/2015 21:49,C,14,146
1/7/2015 22:49,C,13,142
1/7/2015 23:49,C,12,139
2/7/2015 0:49,C,11,135
2/7/2015 1:49,C,10,633
2/7/2015 2:49,C,10,131
2/7/2015 3:49,C,10,131
2/7/2015 4:49,C,10,131
2/7/2015 5:49,C,10,131
2/7/2015 6:49,C,13,142
2/7/2015 7:49,C,17,154
2/7/2015 8:49,C,20,66
2/7/2015 9:49,C,38,136
2/7/2015 10:49,C,61,959
2/7/2015 11:49,C,65,914
2/7/2015 12:49,C,48,83
2/7/2015 13:49,C,31,655
2/7/2015 14:49,C,30,158
2/7/2015 15:49,C,24,662
2/7/2015 16:49,C,25,162
2/7/2015 17:49,C,22,161
2/7/2015 18:49,C,21,16
2/7/2015 19:49,C,18,156
2/7/2015 20:49,C,17,655
2/7/2015 21:49,C,17,154
2/7/2015 22:49,C,16,653
2/7/2015 23:49,C,16,151
3/7/2015 0:49,C,15,65
3/7/2015 1:49,C,15,65
3/7/2015 2:49,C,15,65
3/7/2015 3:49,C,14,647
3/7/2015 4:49,C,14,647
3/7/2015 5:49,C,15,149
3/7/2015 6:49,C,17,655
3/7/2015 7:49,C,18,156
3/7/2015 8:49,C,20,159
3/7/2015 9:49,C,31,655
3/7/2015 10:49,C,68,383
3/7/2015 11:49,C,36,143
3/7/2015 12:49,C,38,136
3/7/2015 13:49,C,22,161
3/7/2015 14:49,C,19,158
3/7/2015 15:49,C,19,658
3/7/2015 16:49,C,18,657
3/7/2015 17:49,C,19,658
3/7/2015 18:49,C,17,655
3/7/2015 19:49,C,16,151
3/7/2015 20:49,C,15,149
3/7/2015 21:49,C,13,644
3/7/2015 22:49,C,12,641
3/7/2015 23:49,C,11,637
4/7/2015 0:49,C,11,135
4/7/2015 1:49,C,10,131
4/7/2015 2:49,C,9,629
4/7/2015 3:49,C,9,629
4/7/2015 4:49,C,9,127
4/7/2015 5:49,C,9,629
4/7/2015 6:49,C,11,135
4/7/2015 7:49,C,16,653
4/7/2015 8:49,C,20,159
4/7/2015 9:49,C,29,659
4/7/2015 10:49,C,63,443
4/7/2015 11:49,C,24,662
4/7/2015 12:49,C,19,658
4/7/2015 13:49,C,21,661
4/7/2015 14:49,C,22,661
4/7/2015 15:49,C,22,661
4/7/2015 16:49,C,21,16
4/7/2015 17:49,C,19,158
4/7/2015 18:49,C,17,154
4/7/2015 19:49,C,15,149
4/7/2015 20:49,C,14,647
4/7/2015 21:49,C,14,146
4/7/2015 22:49,C,14,146
4/7/2015 23:49,C,13,142
5/7/2015 0:49,C,12,139
5/7/2015 1:49,C,12,139
5/7/2015 2:49,C,10,633
5/7/2015 3:49,C,9,629
5/7/2015 4:49,C,8,624
5/7/2015 5:49,C,8,624
5/7/2015 6:49,C,9,629
5/7/2015 7:49,C,12,641
5/7/2015 8:49,C,17,655
5/7/2015 9:49,C,30,657
5/7/2015 10:49,C,37,638
5/7/2015 11:49,C,27,661
5/7/2015 12:49,C,33,152
5/7/2015 13:49,C,24,662
5/7/2015 14:49,C,22,161
5/7/2015 15:49,C,20,66
5/7/2015 16:49,C,18,657
5/7/2015 17:49,C,17,655
5/7/2015 18:49,C,16,653
5/7/2015 19:49,C,23,162
5/7/2015 20:49,C,20,159
5/7/2015 21:49,C,17,154
5/7/2015 22:49,C,15,149
5/7/2015 23:49,C,14,146
6/7/2015 0:49,C,13,644
6/7/2015 1:49,C,12,641
6/7/2015 2:49,C,11,637
6/7/2015 3:49,C,10,633
6/7/2015 4:49,C,10,131
6/7/2015 5:49,C,10,633
6/7/2015 6:49,C,12,139
6/7/2015 7:49,C,17,655
6/7/2015 8:49,C,27,161
6/7/2015 9:49,C,23,162
6/7/2015 10:49,C,23,162
6/7/2015 11:49,C,24,162
6/7/2015 12:49,C,25,162
6/7/2015 13:49,C,25,662
6/7/2015 14:49,C,26,662
6/7/2015 15:49,C,27,661
6/7/2015 16:49,C,29,159
6/7/2015 17:49,C,29,159
6/7/2015 18:49,C,28,161
6/7/2015 19:49,C,27,161
6/7/2015 20:49,C,26,662
6/7/2015 21:49,C,25,662
6/7/2015 22:49,C,24,662
6/7/2015 23:49,C,24,162
7/7/2015 0:49,C,23,162
7/7/2015 1:49,C,22,661
7/7/2015 2:49,C,21,661
7/7/2015 3:49,C,21,16
7/7/2015 4:49,C,20,159
7/7/2015 5:49,C,19,658
7/7/2015 6:49,C,20,159
7/7/2015 7:49,C,20,66
7/7/2015 8:49,C,21,661
7/7/2015 9:49,C,23,162
7/7/2015 10:49,C,24,662
7/7/2015 11:49,C,25,662
7/7/2015 12:49,C,27,161
7/7/2015 13:49,C,28,66
7/7/2015 14:49,C,28,161
7/7/2015 15:49,C,27,161
7/7/2015 16:49,C,26,162
7/7/2015 17:49,C,24,662
7/7/2015 18:49,C,23,662
7/7/2015 19:49,C,23,162
7/7/2015 20:49,C,22,161
