scrubbed_genus,scrubbed_species_binomial,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id
Nothofagus,Nothofagus dombeyi,-40.18333,-71.31666,1996-02-23,MO,"ARIZ, BAB, G, K, LPB, MBM, MO, NY, US","ARIZ, BAB, G, K, LPB, MBM, MO, NY, US","ARIZ, BAB, G, K, LPB, MBM, MO, NY, US",NA,280
Nothofagus,Nothofagus nitida,-40.23,-73.421,NA,SALVIAS,Gentry Transect Dataset,James S. MIller,NA,NA,14
Nothofagus,Nothofagus nitida,-40.23,-73.421,NA,SALVIAS,Gentry Transect Dataset,James S. MIller,NA,NA,14
Nothofagus,Nothofagus dombeyi,-41.029438,-71.814278,1973-12-30,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-38.027634,-73.204132,1973-11-22,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-38.027634,-73.204132,1973-11-22,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-41.032837,-72.045593,1973-11-25,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus pumilio,-41,-71.9,1975-11-01,GBIF,CANB,CANB,CANB,CANB,3664
Nothofagus,Nothofagus pumilio,-50.465527,-72.842102,1973-12-17,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus antarctica,-49.76,-72.09,NA,GBIF,SI,SI,SI,HERB,3669
Nothofagus,Nothofagus betuloides,-50.325712,-73.166919,NA,GBIF,MACN,MACN,MACN,BA V,2228
Nothofagus,Nothofagus dombeyi,-41.5,-71.5,1948-02-01,GBIF,UConn,UConn,UConn,CONN,1754
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus antarctica,-50.088479,-73.194756,NA,GBIF,MACN,MACN,MACN,BA V,2228
Nothofagus,Nothofagus betuloides,-54.792454,-68.38028,1973-12-05,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus betuloides,-54.75,-63.88333,1998-11-26,MO,"MO, SI","MO, SI","MO, SI",NA,280
Nothofagus,Nothofagus dombeyi,-36.65,-71.38333,2001-11-04,MO,MO,MO,MO,NA,280
Nothofagus,Nothofagus dombeyi,-34.380341,-58.478935,1973-11-27,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-39.676945,-71.529236,1973-12-28,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus obliqua,-38.027634,-73.204132,1973-11-22,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus pumilio,-35.3869,-64.9208,NA,GBIF,F,F,F,Botany,3567
Nothofagus,Nothofagus antarctica,-50.306608,-72.799843,NA,GBIF,MACN,MACN,MACN,BA V,2228
Nothofagus,Nothofagus obliqua,-36.22,-71.23,1999-04-03,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus pumilio,-54.795876,-68.379333,1973-12-05,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-40.66,-71.97,1954-04-01,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus pumilio,-50.465527,-72.842102,1973-12-17,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-36.08,-71.16,1999-09-03,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus pumilio,-54.15,-68.72,1994-01-15,GBIF,MA,MA,MA,MA,3753
Nothofagus,Nothofagus nitida,-40.23,-73.421,NA,SALVIAS,Gentry Transect Dataset,James S. MIller,NA,NA,14
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus dombeyi,-41.2,-72.55,1987-12-04,GBIF,W,W,W,Herbarium W,3736
Nothofagus,Nothofagus alpina,-33.966667,-70.966667,NA,GBIF,MEL,MEL,MEL,MEL,3283
Nothofagus,Nothofagus obliqua,-33.2,-71,NA,GBIF,WELT,WELT,WELT,WELT,3730
Nothofagus,Nothofagus dombeyi,-41.053547,-72.062073,1973-11-24,GBIF,MB,MB,MB,MBcoll,3487
Nothofagus,Nothofagus antarctica,-37.97697,-71.03631,NA,GBIF,IANIGLA,IANIGLA,IANIGLA,XFR,2712
Nothofagus,Nothofagus alpina,-35.8156,-70.8906,NA,GBIF,F,F,F,Botany,3567
