Reference,Study_common_taxon,Site_name,Sampling_effort,Longitude,Latitude,species,Measurement,Effort_corrected_measurement
Cameron et al. 2011,Hymenoptera,"Santor, 3 mi E, Black Hills NF_09",30,-103.5605,43.7072,Bombus bifarius,4,22.666666666666664
Cameron et al. 2011,Hymenoptera,"Santor, 3 mi E, Black Hills NF_09",30,-103.5605,43.7072,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,1 mi. E of Norman (OK08.site02)_08,30,-97.36465,35.18917,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,1 mi. E of Norman (OK08.site02)_08,30,-97.36465,35.18917,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Brookfield (Route 11) (MO08.site06)_08,30,-93.08075,39.7526,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Brookfield (Route 11) (MO08.site06)_08,30,-93.08075,39.7526,Bombus impatiens,8,45.33333333333333
Cameron et al. 2011,Hymenoptera,Hwy 15 near Iowa border (MO08.site09)_08,30,-92.16366,40.50023,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 15 near Iowa border (MO08.site09)_08,30,-92.16366,40.50023,Bombus impatiens,6,34
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 2) (IL08.site13B)_08,30,-89.3416,39.51112,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 2) (IL08.site13B)_08,30,-89.3416,39.51112,Bombus impatiens,5,28.333333333333332
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 1) (IL08.site13A)_08,30,-89.32839,39.52481,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 1) (IL08.site13A)_08,30,-89.32839,39.52481,Bombus impatiens,12,68
Cameron et al. 2011,Hymenoptera,"Meadowbrook Park, Urbana (IL08.site10)_08",30,-88.2025,40.083333,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Meadowbrook Park, Urbana (IL08.site10)_08",30,-88.2025,40.083333,Bombus impatiens,15,85
Cameron et al. 2011,Hymenoptera,W of Charles City (IA08.site04)_08,40,-92.6489,43.06555,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,W of Charles City (IA08.site04)_08,40,-92.6489,43.06555,Bombus impatiens,10,42.5
